ID,StartDate,EndDate,Finished,gender,sexuality,white,black,native,asian,hispanic,multi,other,socialsci,natphysci,stem,artshum,otherstudy,gpa,fraternity,sorority,geninclus,nogreek,legacy,income,finanaid,athlevel,ideology,party,clinton,sanders,trump,vote,debt,loans,loansamt,ploans,ploansamt,sateduc,satintvol,satoffterm,housing,sexassault,greeklife,Phjob,admin,BLM,divest,theD,review,alcohol,drugs,sex,sleep,bema,centergreen,preslawn,tophop,stepshall,fiftyyard,stacks,sevennone,lous,ledyard,decade,challnone,homcome,wintercar,greenkey,sophsum,docfirst,gradstate,gradplans,gradwork,gradsalary,tenyears
R_5Aujlp7Nc8T1Vex,5/27/2016 17:27,5/27/2016 17:29,1,2,4,1,,,,,,,1,,,,,1,,1,,,2,8,2,3,3,3,4,5,5,5,2,2,,2,,2,2,2,5,3,5,4,4,4,2,3,4,5,1,4,8,,,,,1,,,,1,1,,,3,5,1,2,4,32,2,4,5,4
R_1Ola6xMiJXFp2AJ,5/27/2016 17:27,5/27/2016 17:31,1,2,1,1,,,,,,,,,,1,,1,,1,,,2,8,1,4,3,5,5,5,4,5,1,1,,1,,1,2,2,3,3,5,4,,3,3,3,3,3,1,3,8,,,,,,,,,1,1,,,1,3,5,2,4,32,6,12,4,12
R_2wh4aE6mKg8HhUy,5/27/2016 17:34,5/27/2016 17:37,1,1,1,,,,1,,,,,,1,,,2,1,,,,2,3,1,4,2,3,2,4,5,1,2,2,,2,,1,1,1,4,3,3,2,4,4,3,2,3,3,1,4,7,,,,,,,,,1,,,,3,4,1,2,5,32,2,4,6,4
R_1BYjWj1ze1SYjmq,5/27/2016 17:30,5/27/2016 17:39,1,2,1,1,,,,,,,1,,,,,2,,1,,,2,3,1,4,2,3,1,2,5,1,1,2,,1,"$17,000 ",1,1,1,5,4,5,5,5,5,5,4,5,5,1,1,9,,,,,,,,,1,,,,4,5,3,2,1,,2,3,5,10
R_25Fbdiko3JhlxCb,5/27/2016 17:36,5/27/2016 17:40,1,2,1,,,,1,,,,,1,,,,2,,1,,,2,5,2,2,2,2,2,2,5,5,2,2,,2,,2,2,2,3,3,3,2,3,3,3,3,3,4,1,1,8,,,,,,,,,,,,,1,4,2,5,3,21,2,3,4,1
R_3Ge4bTxx7fjpiww,5/27/2016 17:46,5/27/2016 17:50,1,2,1,1,,,,,,,1,,,,,2,,1,,,1,7,2,2,4,6,4,5,5,5,2,2,,2,,1,2,1,4,1,5,4,4,4,2,3,3,5,1,5,7,,,,,,,,,1,,1,,2,4,5,1,3,46,2,7,4,7
R_3D6ILYgOmkSN18A,5/27/2016 17:43,5/27/2016 17:51,1,2,1,1,1,,,,,,1,,,,,6,,,,1,2,2,1,1,2,2,2,3,5,1,2,2,,2,,1,1,1,5,3,3,3,3,1,3,4,5,3,3,3,9,,,,,,,,,1,,,,2,4,1,3,5,51,7,12,3,9
R_2OMuV9V4jeczp85,5/27/2016 17:48,5/27/2016 17:53,1,2,1,1,,,,,,,,,,,1,1,,,,1,2,6,2,4,1,1,2,2,5,1,2,2,,2,,1,3,2,3,3,5,4,4,3,2,3,5,5,2,4,10,,,,,,,,,,,,,3,5,1,2,4,5,2,12,4,13
R_2tFsJge0zPPTnKk,5/27/2016 17:56,5/27/2016 18:00,1,1,1,,1,,,,,,,,,1,,6,,,,1,2,5,2,4,2,1,3,2,4,1,2,2,,2,,2,2,3,4,1,,1,1,2,3,1,1,1,1,1,8,,,,,,,,,1,,,,1,3,4,2,5,19,5,14,1,8
R_bj9o0ZldqDpPw2Z,5/27/2016 18:14,5/27/2016 18:16,1,2,1,1,,,,,,,1,,,,,2,,1,,,2,7,2,4,2,2,1,2,5,1,2,2,,2,,2,2,1,5,3,5,4,5,5,3,4,4,5,1,4,8,,,,,,,1,,,,1,,3,4,2,1,5,46,2,,3,12
R_1eQxVfhbQgAwRHQ,5/27/2016 18:18,5/27/2016 18:23,1,1,1,1,,,,,,,1,,,,,1,1,,,,2,6,2,4,2,1,1,2,5,1,2,2,,2,,1,1,1,2,3,4,3,3,3,2,3,5,5,3,2,8,,,,,,,,,1,,,,2,5,3,1,4,46,2,3,4,10
R_2dA4yduzhySA51w,5/27/2016 18:20,5/27/2016 18:24,1,2,1,1,,,,,,,,,1,,,3,,,,1,1,4,2,1,2,3,2,2,5,1,2,2,,2,,2,1,1,4,3,2,3,3,1,1,3,4,4,1,4,8,,,,,,,,,1,,,,4,5,3,1,2,51,6,5,1,5
R_2D00lU9J3wfzDf6,5/27/2016 18:25,5/27/2016 18:30,1,2,1,1,,,,,,,,,1,,,1,,,,1,2,7,2,1,4,5,5,5,5,3,2,2,,2,,2,2,2,5,4,5,4,5,4,3,3,3,3,1,4,8,,,,,,,,,,,,,5,2,4,1,3,21,1,3,5,5
R_3L5Rc7cQX2LiXkr,5/27/2016 19:24,5/27/2016 19:28,1,2,1,1,,,,,,,,,1,,,2,,,,1,2,4,2,1,5,7,5,5,3,3,2,2,,2,,1,1,1,3,3,3,3,3,5,4,5,2,1,1,1,7,,,,,,,,1,1,,,,1,5,3,4,2,27,7,8,8,8
